PHRASE	WORDS_COUNT	FREQUENCY	SYNSETS
go down	2	8	431826 change 434919 change 2733806 stative 1970646 motion 1970826 motion 1205331 consumption 1099866 competition 1989873 motion
blow up	2	8	263682 change 240293 change 264386 change 306723 change 306298 change 264034 change 1795428 emotion 956405 communication
put down	2	8	1020356 communication 1544692 contact 1000214 communication 1489465 contact 1500372 contact 1800422 emotion 1981036 motion 1326528 contact
spread out	2	7	1360715 contact 2082690 motion 1579813 contact 2077148 motion 2045415 motion 2060141 motion 2028994 motion
get on	2	7	248659 change 2018049 motion 248026 change 1923414 motion 1849983 motion 2458566 social 424337 change
check out	2	7	661824 cognition 2363742 possession 2658283 stative 966492 communication 2376833 social 809071 communication 2311260 possession
wash out	2	7	280112 change 1535742 contact 282343 change 1605851 contact 557686 change 2594833 social 542533 change
stand up	2	7	2618688 stative 1546768 contact 895641 communication 1546111 contact 1983597 motion 1983264 motion 1117086 competition
run down	2	7	106960 body 2068223 motion 99517 body 2152278 perception 2376833 social 2280869 possession 2004227 motion
put away	2	7	778885 communication 2494356 social 1615991 contact 2222318 possession 1173208 consumption 1347678 contact 1327133 contact
get down	2	7	1020356 communication 1973486 motion 1814396 emotion 345761 change 1958452 motion 1201856 consumption 1973125 motion
turn on	2	7	2141414 perception 2711987 stative 1762528 emotion 1200934 consumption 1510399 contact 1762283 emotion 548479 change
roll up	2	7	125078 change 435688 change 435853 change 2304982 possession 2006453 motion 1487008 contact 1345589 contact
run off	2	7	2074186 motion 2067889 motion 1736299 creation 2073714 motion 1081505 competition 2011040 motion 2002720 motion
set off	2	7	349785 change 851239 communication 2717831 stative 306723 change 514463 change 1643657 creation 2014165 motion
open up	2	7	2426171 social 1645421 creation 1346804 contact 1346003 contact 540101 change 1041298 communication 539936 change
pass on	2	7	2589013 social 1992503 motion 2043190 motion 2230247 possession 2296153 possession 742320 communication 2230772 possession
hold up	2	7	459776 change 2618149 stative 2706816 stative 2277448 possession 1217043 contact 2618688 stative 2141559 perception
get out	2	7	1214597 contact 935987 communication 1995211 motion 1009986 communication 2015168 motion 2015598 motion 810729 communication
call in	2	7	2487573 social 2312478 possession 790135 communication 1469960 contact 2359061 possession 792011 communication 2405120 social
go up	2	7	1943949 motion 1969216 motion 377351 change 2053941 motion 1921964 motion 1968569 motion 155143 change
take away	2	7	173338 change 532115 change 1166940 consumption 179311 change 1434278 contact 2205719 possession 571061 change
straighten out	2	6	275843 change 1463520 contact 1368597 contact 208055 change 167934 change 621058 cognition
go out	2	6	352419 change 2667558 stative 2015598 motion 1842204 motion 2011437 motion 2486232 social
strike out	2	6	1936361 motion 2528833 social 1509280 contact 346714 change 1154175 competition 800750 communication
bring down	2	6	1973125 motion 1981036 motion 1830307 emotion 748282 communication 2402409 social 429060 change
take back	2	6	2078294 motion 1852591 motion 610770 cognition 799076 communication 2205887 possession 2458405 social
hold back	2	6	2283324 possession 2422663 social 2641463 stative 2726044 stative 1131473 competition 2146790 perception
fall back	2	6	93327 body 2039315 motion 1113806 competition 1997862 motion 1904120 motion 2590072 social
wipe out	2	6	478830 change 1621219 creation 470701 change 479391 change 1157517 consumption 471196 change
bear down	2	6	750979 communication 840980 communication 1121719 competition 1389186 contact 1082023 competition 1597096 contact
think of	2	6	689950 cognition 723222 cognition 1634142 creation 711715 cognition 609683 cognition 730052 cognition
set down	2	6	1020356 communication 1489465 contact 1500372 contact 1979241 motion 1502122 contact 1979901 motion
shake up	2	6	2433123 social 1391946 contact 1761706 emotion 1419473 contact 1890351 motion 1865051 motion
pass off	2	6	421691 change 801522 communication 2134492 perception 339934 change 2052965 motion 105333 body
cut down	2	6	1104509 competition 1258302 contact 1239862 contact 1319562 contact 1322675 contact 429060 change
draw out	2	6	744776 communication 1540693 contact 1630532 creation 1351170 contact 317888 change 1818538 emotion
fill out	2	6	46382 body 2342580 possession 172381 change 1194938 consumption 1526956 contact 1020731 communication
break in	2	6	335555 change 1207817 contact 202569 change 2570684 social 347804 change 780191 communication
pay off	2	6	1153947 competition 2256853 possession 2292004 possession 2284803 possession 2253456 possession 2352019 possession
line up	2	6	2213336 possession 2036650 motion 1073953 competition 2704213 stative 2036755 motion 464321 change
cut off	2	6	292507 change 1440646 contact 1259458 contact 1254692 contact 1299268 contact 778275 communication
cut out	2	6	352310 change 1440646 contact 1554799 contact 1549719 contact 1104509 competition 472671 change
draw in	2	6	1282142 contact 2054703 motion 2098458 motion 1505254 contact 2015384 motion 1506583 contact
put in	2	6	914769 communication 1072641 competition 780191 communication 2281093 possession 1569566 contact 187526 change
go off	2	6	307295 change 1526792 contact 305846 change 2073714 motion 343898 change 1134238 competition
squeeze out	2	6	1675780 creation 2239997 possession 2404076 social 2239846 possession 1349318 contact 1375637 contact
stretch out	2	5	101434 body 27705 body 2054989 motion 1985271 motion 28167 body
go for	2	5	1072807 competition 1776468 emotion 797697 communication 706047 cognition 2676789 stative
get through	2	5	484892 change 2021921 motion 2709277 stative 743344 communication 591755 cognition
go through	2	5	1161947 consumption 2110220 perception 486018 change 2050132 motion 1197014 consumption
break away	2	5	2073233 motion 2075049 motion 1259691 contact 2535457 social 2535716 social
throw out	2	5	801626 communication 875806 communication 2501738 social 2222318 possession 2401809 social
turn back	2	5	2004528 motion 2002720 motion 1131473 competition 386715 change 387310 change
turn down	2	5	267855 change 572940 change 796976 communication 2237338 possession 2502916 social
slow down	2	5	26385 body 440580 change 438495 change 440786 change 439958 change
pass over	2	5	1840092 motion 616498 cognition 1915365 motion 1392237 contact 1912159 motion
pull back	2	5	1609773 contact 799383 communication 1449053 contact 1994442 motion 1243298 contact
hold over	2	5	2643280 stative 2642814 stative 2202802 possession 1781387 emotion 2682424 stative
knock off	2	5	363110 change 2349597 possession 1700655 creation 1327301 contact 2322230 possession
knock out	2	5	180602 change 1809980 emotion 1414088 contact 451153 change 472426 change
loosen up	2	5	26385 body 1479682 contact 25654 body 2602212 social 27064 body
